scientificName,Frequency,Common Name
Troglodytes troglodytes,334516,Eurasian Wren
Erithacus rubecula,330418,European Robin
Turdus philomelos,231606,Song Thrush
Turdus merula,201057,Eurasian Blackbird
Cyanistes caeruleus,127129,Eurasian Blue Tit
Sylvia atricapilla,121863,Eurasian Blackcap
Phylloscopus collybita,105590,Common Chiffchaff
Sitta europaea,62812,Eurasian Nuthatch
Certhia familiaris,59572,Eurasian Treecreeper
Strix aluco,52858,Tawny Owl
Periparus ater,42343,Coal Tit
Parus major,40520,Great Tit
Regulus regulus,34039,Goldcrest
Fringilla coelebs,33930,Common Chaffinch
Dendrocopos major,32719,Great Spotted Woodpecker
Columba palumbus,26058,Common Wood-Pigeon
Picus viridis,25289,Eurasian Green Woodpecker
Oriolus oriolus,23459,Eurasian Golden Oriole
Turdus viscivorus,19097,Mistle Thrush
Poecile palustris,18558,Marsh Tit
Prunella modularis,16913,Dunnock
Phylloscopus sibilatrix,16514,Wood Warbler
Columba oenas,14454,Stock Dove
Garrulus glandarius,13242,Eurasian Jay
Corvus corone,13124,Carrion Crow
Buteo buteo,12822,Common Buzzard
Sylvia borin,12442,Garden Warbler
Muscicapa striata,11152,Spotted Flycatcher
Astur gentilis,10343,Eurasian Goshawk
Regulus ignicapilla,10310,Common Firecrest
Coccothraustes coccothraustes,10245,Hawfinch
Aegithalos caudatus,7550,Long-tailed Tit
Turdus iliacus,7350,Redwing
Loxia curvirostra,5869,Red Crossbill
Athene noctua,5658,Little Owl
Ficedula hypoleuca,5595,European Pied Flycatcher
Coloeus monedula,5590,Eurasian Jackdaw
Phasianus colchicus,5352,Ring-necked Pheasant
Chloris chloris,5187,European Greenfinch
Phylloscopus trochilus,4269,Willow Warbler
Dryobates minor,3701,Lesser Spotted Woodpecker
Phoenicurus phoenicurus,3653,Common Redstart
Rallus aquaticus,3584,Water Rail
Luscinia megarhynchos,3492,Common Nightingale
Carduelis carduelis,3464,European Goldfinch
Pyrrhula pyrrhula,3191,Eurasian Bullfinch
Tyto alba,3164,Western Barn Owl
Turdus pilaris,3136,Fieldfare
Alcedo atthis,3132,Common Kingfisher
Cuculus canorus,2884,Common Cuckoo
Corvus corax,2643,Common Raven
Numenius arquata,2402,Eurasian Curlew
Streptopelia decaocto,2331,Eurasian Collared-Dove
Gallinula chloropus,2200,Eurasian Moorhen
Fulica atra,2068,Eurasian Coot
Calidris alpina,1763,Dunlin
Asio otus,1709,Long-eared Owl
Phylloscopus ibericus,1566,Iberian Chiffchaff
Haematopus ostralegus,1548,Eurasian Oystercatcher
Ardea cinerea,1389,Gray Heron
