scientificName,Frequency,Common Name
Troglodytes troglodytes,334516,Eurasian Wren
Erithacus rubecula,330418,European Robin
Turdus philomelos,231606,Song Thrush
Turdus merula,201057,Eurasian Blackbird
Cyanistes caeruleus,127129,Eurasian Blue Tit
Sylvia atricapilla,121863,Eurasian Blackcap
Phylloscopus collybita,105590,Common Chiffchaff
Sitta europaea,62812,Eurasian Nuthatch
Certhia familiaris,59572,Eurasian Treecreeper
Strix aluco,52858,Tawny Owl
Periparus ater,42343,Coal Tit
Parus major,40520,Great Tit
Regulus regulus,34039,Goldcrest
Fringilla coelebs,33930,Common Chaffinch
Dendrocopos major,32719,Great Spotted Woodpecker
Columba palumbus,26058,Common Wood-Pigeon
Picus viridis,25289,Eurasian Green Woodpecker
Oriolus oriolus,23459,Eurasian Golden Oriole
Turdus viscivorus,19097,Mistle Thrush
Poecile palustris,18558,Marsh Tit
Pholidoptera griseoaptera,17039,
Prunella modularis,16913,Dunnock
Phylloscopus sibilatrix,16514,Wood Warbler
Columba oenas,14454,Stock Dove
Garrulus glandarius,13242,Eurasian Jay
Corvus corone,13124,Carrion Crow
Buteo buteo,12822,Common Buzzard
Sylvia borin,12442,Garden Warbler
Muscicapa striata,11152,Spotted Flycatcher
Astur gentilis,10343,Eurasian Goshawk
Regulus ignicapilla,10310,Common Firecrest
Coccothraustes coccothraustes,10245,Hawfinch
Dryocopus martius,10027,Black Woodpecker
Aegithalos caudatus,7550,Long-tailed Tit
Turdus iliacus,7350,Redwing
Corvus cornix,6766,Hooded Crow
Picus canus,6201,Gray-headed Woodpecker
Aegolius funereus,6178,Boreal Owl
Certhia brachydactyla,6037,Short-toed Treecreeper
Loxia curvirostra,5869,Red Crossbill
Hippolais icterina,5754,Icterine Warbler
Athene noctua,5658,Little Owl
Ficedula hypoleuca,5595,European Pied Flycatcher
Coloeus monedula,5590,Eurasian Jackdaw
Ficedula parva,5468,Red-breasted Flycatcher
Phasianus colchicus,5352,Ring-necked Pheasant
Chloris chloris,5187,European Greenfinch
Hylocichla mustelina,5046,Wood Thrush
Turdus migratorius,5000,American Robin
Phylloscopus trochilus,4269,Willow Warbler
Certhia americana,4246,Brown Creeper
Dendrocoptes medius,3708,Middle Spotted Woodpecker
Dryobates minor,3701,Lesser Spotted Woodpecker
Phoenicurus phoenicurus,3653,Common Redstart
Rallus aquaticus,3584,Water Rail
Cardinalis cardinalis,3516,Northern Cardinal
Luscinia megarhynchos,3492,Common Nightingale
Carduelis carduelis,3464,European Goldfinch
Pyrrhula pyrrhula,3191,Eurasian Bullfinch
Tyto alba,3164,Western Barn Owl
Turdus pilaris,3136,Fieldfare
Alcedo atthis,3132,Common Kingfisher
Cuculus canorus,2884,Common Cuckoo
Capreolus capreolus,2691,
Vulpes vulpes,2676,
Corvus corax,2643,Common Raven
Numenius arquata,2402,Eurasian Curlew
Streptopelia decaocto,2331,Eurasian Collared-Dove
Luscinia luscinia,2299,Thrush Nightingale
Troglodytes hiemalis,2205,Winter Wren
Gallinula chloropus,2200,Eurasian Moorhen
Regulus satrapa,2168,Golden-crowned Kinglet
Fulica atra,2068,Eurasian Coot
Glaucidium passerinum,2027,Eurasian Pygmy-Owl
Bubo virginianus,2015,Great Horned Owl
Troglodytes pacificus,1961,Pacific Wren
Calidris alpina,1763,Dunlin
Asio otus,1709,Long-eared Owl
Anaxyrus americanus,1701,
Strix varia,1669,Barred Owl
Bubo bubo,1656,Eurasian Eagle-Owl
Phylloscopus ibericus,1566,Iberian Chiffchaff
Domestic_sounds_and_home_sounds,1564,
Lithobates sylvaticus,1555,
Haematopus ostralegus,1548,Eurasian Oystercatcher
Emberiza hortulana,1493,Ortolan Bunting
Thryothorus ludovicianus,1464,Carolina Wren
Ardea cinerea,1389,Gray Heron
Pseudacris crucifer,1376,
Burhinus oedicnemus,1340,Eurasian Thick-knee
Porzana porzana,1323,Spotted Crake
Phylloscopus trochiloides,1320,Greenish Warbler
Tettigettalna argentata,1298,
Actitis hypoleucos,1293,Common Sandpiper
Grus grus,1276,Common Crane
Ficedula albicollis,1257,Collared Flycatcher
Pluvialis apricaria,1232,European Golden-Plover
Phylloscopus bonelli,1140,Western Bonelli's Warbler
Spinus spinus,1126,Eurasian Siskin
Buteo lineatus,1074,Red-shouldered Hawk
Corvus frugilegus,1068,Rook
Tachybaptus ruficollis,1065,Little Grebe
Botaurus stellaris,1009,Eurasian Bittern
Tringa ochropus,978,Green Sandpiper
Nycticorax nycticorax,975,Black-crowned Night Heron
Lophophanes cristatus,930,Crested Tit
Coturnix coturnix,868,Common Quail
Baeolophus bicolor,852,Tufted Titmouse
Numenius phaeopus,826,Eurasian Whimbrel
Cettia cetti,821,Cetti's Warbler
Sturnus vulgaris,776,European Starling
Pipilo erythrophthalmus,765,Eastern Towhee
Curruca curruca,757,Lesser Whitethroat
Buteo jamaicensis,730,Red-tailed Hawk
Gallinago gallinago,724,Common Snipe
Phoenicurus ochruros,703,Black Redstart
Branta canadensis,703,Canada Goose
Megascops asio,692,Eastern Screech-Owl
Bombycilla cedrorum,658,Cedar Waxwing
Otus scops,652,Eurasian Scops-Owl
Linaria cannabina,648,Eurasian Linnet
Cyanocitta cristata,639,Blue Jay
Vireo gilvus,604,Eastern Warbling Vireo
Turdus torquatus,587,Ring Ouzel
Jynx torquilla,580,Eurasian Wryneck
Locustella naevia,580,Common Grasshopper Warbler
Anas platyrhynchos,552,Mallard
Toxostoma rufum,538,Brown Thrasher
Parus cinereus,538,Asian Tit
Dryocopus pileatus,533,Pileated Woodpecker
Catharus ustulatus,504,Swainson's Thrush
Water_tap_and_faucet,502,
Hirundo rustica,501,Barn Swallow
Catharus guttatus,499,Hermit Thrush
Motacilla cinerea,498,Gray Wagtail
Poecile carolinensis,495,Carolina Chickadee
Botaurus minutus,490,Little Bittern
Fringilla montifringilla,466,Brambling
Caprimulgus europaeus,464,Eurasian Nightjar
Poecile montanus,463,Willow Tit
Curruca communis,448,Greater Whitethroat
Cystosoma saundersii,426,
Megaceryle alcyon,410,Belted Kingfisher
Milvus milvus,409,Red Kite
Scolopax rusticola,407,Eurasian Woodcock
Emberiza calandra,404,Corn Bunting
Alauda arvensis,390,Eurasian Skylark
Setophaga petechia,384,Mangrove Yellow Warbler
Emberiza cirlus,376,Cirl Bunting
Conocephalus fuscus,366,
Myiarchus crinitus,357,Great Crested Flycatcher
Hyla versicolor,357,
Mimus polyglottos,353,Northern Mockingbird
Acrocephalus palustris,350,Marsh Warbler
Catharus fuscescens,334,Veery
Anas crecca,334,Green-winged Teal
Omocestus viridulus,333,
Charadrius hiaticula,331,Common Ringed Plover
Apus apus,330,Common Swift
Pica pica,329,Eurasian Magpie
Vireo olivaceus,327,Red-eyed Vireo
Dendrocopos leucotos,322,White-backed Woodpecker
Muntiacus reevesi,321,
Thinornis dubius,315,Little Ringed Plover
Incilius nebulifer,302,
Emberiza citrinella,299,Yellowhammer
Sciurus carolinensis,290,
Acris blanchardi,285,
Anser anser,283,Graylag Goose
Limnodynastes peronii,278,
Anthus trivialis,275,Tree Pipit
Bombina bombina,270,
Dumetella carolinensis,262,Gray Catbird
Picus sharpei,259,Iberian Green Woodpecker
Curruca melanocephala,255,Sardinian Warbler
Setophaga virens,251,Black-throated Green Warbler
Colaptes auratus,251,Northern Flicker
Acrocephalus dumetorum,247,Blyth's Reed Warbler
Falco tinnunculus,239,Eurasian Kestrel
Liquid,229,
Accipiter nisus,213,Eurasian Sparrowhawk
Microcentrum rhombifolium,213,
Piranga olivacea,208,Scarlet Tanager
Serinus serinus,205,European Serin
Vireo solitarius,202,Blue-headed Vireo
Vireo huttoni,202,Hutton's Vireo
Pardalotus punctatus,201,Spotted Pardalote
Chordeiles minor,199,Common Nighthawk
Phaneroptera nana,196,
Setophaga ruticilla,190,American Redstart
Psiloscops flammeolus,188,Flammulated Owl
Charadrius vociferus,183,Killdeer
Anthus hodgsoni,177,Olive-backed Pipit
Roeseliana roeselii,174,
Acrocephalus scirpaceus,171,Common Reed Warbler
Acanthis flammea,170,Redpoll
Corvus brachyrhynchos,169,American Crow
Lithobates catesbeianus,166,
Tringa nebularia,161,Common Greenshank
Motacilla alba,155,White Wagtail
Loxia pytyopsittacus,153,Parrot Crossbill
Contopus virens,153,Eastern Wood-Pewee
Mechanisms,152,
Chroicocephalus ridibundus,152,Black-headed Gull
Catharus aurantiirostris,152,Orange-billed Nightingale-Thrush
Crinia signifera,149,
Streptopelia turtur,146,European Turtle-Dove
Dryobates pubescens,144,Downy Woodpecker
Sialia sialis,141,Eastern Bluebird
Pachycephala pectoralis,141,Golden Whistler
Glaucidium gnoma,139,Northern Pygmy-Owl
Pluvialis squatarola,139,Black-bellied Plover
Vireo griseus,137,White-eyed Vireo
Sink_(filling_or_washing),136,
Seiurus aurocapilla,136,Ovenbird
Turdus grayi,134,Clay-colored Thrush
Strix uralensis,129,Ural Owl
Haliaeetus leucocephalus,126,Bald Eagle
Carpodacus erythrinus,124,Common Rosefinch
Tetrastes bonasia,124,Hazel Grouse
Zonotrichia albicollis,120,White-throated Sparrow
Vireo flavifrons,117,Yellow-throated Vireo
Pseudacris maculata,117,
Canis latrans,116,
Hippolais polyglotta,115,Melodious Warbler
Scolopax minor,111,American Woodcock
Agelaius phoeniceus,110,Red-winged Blackbird
Aegolius acadicus,110,Northern Saw-whet Owl
Eudromias morinellus,105,Eurasian Dotterel
Chorthippus biguttulus,105,
Ixoreus naevius,102,Varied Thrush
Haemorhous purpureus,101,Purple Finch
Tamiasciurus hudsonicus,100,
Picoides tridactylus,100,Eurasian Three-toed Woodpecker
Setophaga americana,98,Northern Parula
Poecile atricapillus,97,Black-capped Chickadee
Melospiza melodia,94,Song Sparrow
Vanellus vanellus,91,Northern Lapwing
Mareca penelope,90,Eurasian Wigeon
Attila rufus,89,Gray-hooded Attila
Cacomantis variolosus,89,Sahul Brush Cuckoo
