Species,Frequency
Troglodytes troglodytes,334516
Erithacus rubecula,330418
Turdus philomelos,231606
Turdus merula,201057
Cyanistes caeruleus,127129
Sylvia atricapilla,121863
Phylloscopus collybita,105590
Sitta europaea,62812
Certhia familiaris,59572
Strix aluco,52858
Periparus ater,42343
Parus major,40520
Regulus regulus,34039
Fringilla coelebs,33930
Dendrocopos major,32719
Columba palumbus,26058
Picus viridis,25289
Oriolus oriolus,23459
Turdus viscivorus,19097
Poecile palustris,18558
Pholidoptera griseoaptera,17039
Prunella modularis,16913
Phylloscopus sibilatrix,16514
Columba oenas,14454
Garrulus glandarius,13242
Corvus corone,13124
Buteo buteo,12822
Sylvia borin,12442
Muscicapa striata,11152
Astur gentilis,10343
Regulus ignicapilla,10310
Coccothraustes coccothraustes,10245
Dryocopus martius,10027
Aegithalos caudatus,7550
Turdus iliacus,7350
Corvus cornix,6766
Picus canus,6201
Aegolius funereus,6178
Certhia brachydactyla,6037
Loxia curvirostra,5869
Hippolais icterina,5754
Athene noctua,5658
Ficedula hypoleuca,5595
Coloeus monedula,5590
Ficedula parva,5468
Phasianus colchicus,5352
Chloris chloris,5187
Hylocichla mustelina,5046
Turdus migratorius,5000
Phylloscopus trochilus,4269
Certhia americana,4246
Dendrocoptes medius,3708
Dryobates minor,3701
Phoenicurus phoenicurus,3653
Rallus aquaticus,3584
Cardinalis cardinalis,3516
Luscinia megarhynchos,3492
Carduelis carduelis,3464
Pyrrhula pyrrhula,3191
Tyto alba,3164
Turdus pilaris,3136
Alcedo atthis,3132
Cuculus canorus,2884
Capreolus capreolus,2691
Vulpes vulpes,2676
Corvus corax,2643
Numenius arquata,2402
Streptopelia decaocto,2331
Luscinia luscinia,2299
Troglodytes hiemalis,2205
Gallinula chloropus,2200
Regulus satrapa,2168
Fulica atra,2068
Glaucidium passerinum,2027
Bubo virginianus,2015
Troglodytes pacificus,1961
Calidris alpina,1763
Asio otus,1709
Anaxyrus americanus,1701
Strix varia,1669
Bubo bubo,1656
Phylloscopus ibericus,1566
Domestic_sounds_and_home_sounds,1564
Lithobates sylvaticus,1555
Haematopus ostralegus,1548
Emberiza hortulana,1493
Thryothorus ludovicianus,1464
Ardea cinerea,1389
Pseudacris crucifer,1376
Burhinus oedicnemus,1340
Porzana porzana,1323
Phylloscopus trochiloides,1320
Tettigettalna argentata,1298
Actitis hypoleucos,1293
Grus grus,1276
Ficedula albicollis,1257
Pluvialis apricaria,1232
Phylloscopus bonelli,1140
Spinus spinus,1126
Buteo lineatus,1074
Corvus frugilegus,1068
Tachybaptus ruficollis,1065
Botaurus stellaris,1009
Tringa ochropus,978
Nycticorax nycticorax,975
Lophophanes cristatus,930
Coturnix coturnix,868
Baeolophus bicolor,852
Numenius phaeopus,826
Cettia cetti,821
Sturnus vulgaris,776
Pipilo erythrophthalmus,765
Curruca curruca,757
Buteo jamaicensis,730
Gallinago gallinago,724
Phoenicurus ochruros,703
Branta canadensis,703
Megascops asio,692
Bombycilla cedrorum,658
Otus scops,652
Linaria cannabina,648
Cyanocitta cristata,639
Vireo gilvus,604
Turdus torquatus,587
Jynx torquilla,580
Locustella naevia,580
Anas platyrhynchos,552
Toxostoma rufum,538
Parus cinereus,538
Dryocopus pileatus,533
